id,label
1,9
2,6
3,1
4,3
5,4
6,3
7,3
8,8
9,8
10,6
11,6
12,2
13,3
14,2
15,9
16,3
17,3
18,0
19,1
20,7
21,0
22,7
23,5
24,5
25,5
26,9
27,0
28,0
29,3
30,7
31,9
32,3
33,2
34,5
35,7
36,2
37,9
38,2
39,1
40,5
41,4
42,9
43,6
44,6
45,1
46,5
47,3
48,9
49,3
50,8
51,2
52,9
53,5
54,8
55,6
56,1
57,7
58,2
59,1
60,7
61,2
62,9
63,3
64,8
65,0
66,1
67,0
68,0
69,7
70,3
71,1
72,9
73,9
74,4
75,6
76,3
77,7
78,8
79,2
80,4
81,1
82,9
83,6
84,7
85,8
86,2
87,2
88,7
89,0
90,8
91,9
92,0
93,3
94,3
95,5
96,6
97,6
98,1
99,0
100,3
101,1
102,9
103,0
104,7
105,3
106,8
107,3
108,3
109,2
110,3
111,3
112,2
113,1
114,7
115,3
116,0
117,0
118,2
119,2
120,0
121,0
122,9
123,1
124,6
125,3
126,6
127,6
128,1
129,0
130,4
131,3
132,9
133,5
134,8
135,8
136,4
137,4
138,7
139,7
140,3
141,8
142,5
143,7
144,2
145,1
146,2
147,2
148,1
149,9
150,9
151,8
152,9
153,9
154,3
155,2
156,7
157,6
158,4
159,9
160,7
161,1
162,4
163,3
164,5
165,4
166,4
167,5
168,0
169,6
170,6
171,4
172,7
173,7
174,8
175,1
176,1
177,7
178,1
179,2
180,3
181,2
182,4
183,0
184,1
185,0
186,7
187,8
188,4
189,3
190,3
191,0
192,1
193,6
194,6
195,6
196,6
197,5
198,4
199,0
200,3
201,5
202,8
203,4
204,9
205,8
206,1
207,1
208,1
209,9
210,0
211,6
212,9
213,6
214,4
215,3
216,5
217,6
218,1
219,7
220,8
221,2
222,8
223,6
224,2
225,9
226,5
227,2
228,2
229,8
230,2
231,7
232,9
233,5
234,2
235,8
236,4
237,4
238,3
239,1
240,1
241,8
242,6
243,8
244,0
245,7
246,5
247,2
248,2
249,2
250,7
251,4
252,0
253,6
254,8
255,8
256,8
257,2
258,9
259,0
260,2
261,1
262,2
263,2
264,4
265,8
266,8
267,9
268,6
269,8
270,4
271,4
272,9
273,5
274,8
275,5
276,3
277,0
278,1
279,0
280,5
281,5
282,7
283,0
284,8
285,6
286,4
287,5
288,6
289,2
290,1
291,9
292,3
293,0
294,0
295,3
296,4
297,3
298,6
299,7
300,1
301,5
302,5
303,1
304,7
305,5
306,1
307,4
308,5
309,6
310,1
311,4
312,5
313,5
314,7
315,3
316,3
317,2
318,6
319,5
320,6
321,2
322,8
323,5
324,4
325,0
326,4
327,8
328,4
329,7
330,0
331,9
332,0
333,0
334,2
335,8
336,9
337,8
338,5
339,4
340,9
341,0
342,3
343,5
344,1
345,7
346,5
347,7
348,1
349,0
350,5
351,1
352,1
353,8
354,5
355,4
356,3
357,7
358,9
359,7
360,5
361,0
362,6
363,9
364,6
365,6
366,0
367,9
368,3
369,7
370,7
371,8
372,1
373,5
374,4
375,6
376,9
377,9
378,5
379,0
380,7
381,6
382,1
383,0
384,3
385,5
386,3
387,8
388,3
389,4
390,7
391,4
392,1
393,6
394,4
395,1
396,6
397,4
398,3
399,2
400,4
401,6
402,6
403,8
404,9
405,3
406,1
407,9
408,5
409,2
410,1
411,8
412,5
413,6
414,9
415,5
416,8
417,8
418,4
419,5
420,5
421,2
422,5
423,5
424,5
425,6
426,7
427,9
428,3
429,6
430,1
431,8
432,9
433,0
434,6
435,7
436,7
437,5
438,7
439,1
440,8
441,9
442,9
443,2
444,5
445,3
446,5
447,7
448,7
449,1
450,8
451,0
452,6
453,9
454,0
455,0
456,7
457,1
458,1
459,8
460,0
461,9
462,6
463,0
464,0
465,0
466,0
467,7
468,5
469,2
470,7
471,0
472,8
473,4
474,6
475,9
476,2
477,7
478,3
479,0
480,0
481,4
482,4
483,8
484,8
485,2
486,7
487,5
488,8
489,1
490,4
491,5
492,4
493,0
494,1
495,6
496,2
497,7
498,8
499,2
500,1
501,7
502,6
503,8
504,4
505,3
506,8
507,2
508,7
509,2
510,1
511,6
512,9
513,1
514,0
515,2
516,7
517,0
518,5
519,4
520,5
521,0
522,4
523,0
524,9
525,1
526,4
527,4
528,3
529,6
530,9
531,2
532,2
533,4
534,2
535,9
536,3
537,8
538,6
539,7
540,3
541,8
542,4
543,2
544,4
545,4
546,9
547,9
548,3
549,6
550,9
551,9
552,0
553,6
554,4
555,4
556,2
557,8
558,3
559,7
560,2
561,4
562,7
